"","avg_logFC","pct.2","pct.1","p_val_adj"
"Rgs5",3.86379033669781,0.16025,0.95925,0
"Colec11",3.48463254907161,0.7135,0.997,0
"Angptl6",3.1890666158853,0.031,0.85775,0
"Tmem56",2.9801206945281,0.17175,0.90375,0
"Ecm1",2.87976026430244,0.886,0.99575,0
"Ifitm1",2.7389566863969,0.61425,0.989,0
"Fcna",2.58345153351642,0.12625,0.8575,0
"Lrat",2.57188949999941,0.51125,0.991,0
"Colec10",2.50084447985412,0.05625,0.7885,0
"Reln",2.4958268670232,0.47475,0.99075,0
"Abcc9",2.29933836131937,0.3935,0.964,0
"Masp1",2.27954449605447,0.63325,0.99075,0
"Cxcl12",2.24602760304623,0.83025,0.99825,0
"Steap4",2.23221491311474,0.6275,0.984,0
"Sod3",2.21699213743536,0.7425,0.98275,0
"Vipr1",2.1919705630682,0.1535,0.88375,0
"Plvap",2.19036244783924,0.81525,0.99175,0
"Col14a1",2.18832234402431,0.7575,0.9955,0
"Gdf2",2.15696440884665,0.26125,0.91975,0
"Dcn",2.13271757520382,0.998,0.9985,0
"Igfbp3",2.01729630773033,0.2865,0.81475,0
"Ehd3",2.00394816158418,0.346,0.86325,0
"Wfdc1",1.98947879853328,0.1555,0.819,0
"Tgfbi",1.97830905722648,0.8795,0.99325,0
"Mustn1",1.97437729624664,0.57975,0.958,0
"Nrxn1",1.91565486524616,0.252,0.9025,0
"Rspo3",1.88929255276638,0.41075,0.884,0
"Ramp1",1.88782189012652,0.51825,0.95,0
"Pth1r",1.80852441604466,0.597,0.9155,0
"Agtr1a",1.7388240791997,0.32625,0.87325,0
"Rasgrp2",1.68942324929308,0.2895,0.866,0
"Ccl2",1.68778742781589,0.20175,0.5215,6.87963539010674e-162
"G0s2",1.673611383966,0.76925,0.977,0
"H2-D1",1.66476895901887,0.9705,0.9975,0
"Hs3st3b1",1.66074411905044,0.3125,0.86125,0
"Clca3a1",1.66027625910397,0.3845,0.87975,0
"Hgf",1.64050577283937,0.613,0.95775,0
"Prelp",1.6302293109884,0.91725,0.99625,0
"Ednrb",1.62466015970433,0.4285,0.91125,0
"Zfp36",1.60501942554341,0.63,0.9365,0
"Ppp1r14a",1.58754778522966,0.486,0.89425,0
"Hsd11b1",1.58033221546768,0.72675,0.9155,0
"Kcnj8",1.55212043111081,0.106,0.68375,0
"Sept4",1.49037600847805,0.8525,0.9915,0
"Aard",1.44812763590898,0.19725,0.7215,0
"Arvcf",1.40735682415303,0.23175,0.79325,0
"Fermt2",1.3968784682774,0.825,0.9705,0
"Bmp5",1.39414604230321,0.5105,0.917,0
"Tnfrsf11b",1.38505665501046,0.3175,0.70225,2.2524065658606e-282
"Efemp1",1.38162520360377,0.242,0.76675,0
"Ank3",1.37355897147478,0.22225,0.71975,0
"Slmap",1.34483370935713,0.35475,0.8065,0
"Jun",1.33738583041649,0.855,0.94325,0
"Marcksl1",1.33160619736033,0.60675,0.8925,0
"Epas1",1.32286115568785,0.39,0.8185,0
"Ier2",1.30297403369595,0.74675,0.9005,1.00202477373774e-275
"Cks2",1.25692234658936,0.233,0.74775,0
"Egr1",1.24599149359326,0.76425,0.8895,1.83922681738504e-238
"Sema6d",1.24510044909462,0.3045,0.77975,0
"Ly6e",1.24406996994767,0.9255,0.99,0
"H2-K1",1.2308787137725,0.955,0.99425,0
"Cebpd",1.22509247942255,0.85175,0.97575,9.64784021273838e-304
"AW112010",1.22490041211591,0.413,0.817,0
"Calcrl",1.20911870503649,0.27775,0.66375,3.82573919333602e-285
"Tmem141",1.19909844487586,0.2625,0.70225,0
"Cxcl1",1.19746459721841,0.20075,0.46275,2.05554657731175e-104
"Aldh2",1.19428767805772,0.7235,0.92925,0
"Fos",1.17440578999966,0.87625,0.956,3.29673977839157e-266
"Tmem47",1.16047924398319,0.47425,0.838,0
"Btg2",1.14895828944167,0.49825,0.736,1.67645590625152e-214
"Ednra",1.1240485812274,0.3735,0.7685,0
"Cd151",1.11404397241432,0.52475,0.8385,0
"Cadm3",1.11336374338945,0.078,0.57375,0
"Crip2",1.08824455254827,0.86125,0.97325,0
"Rbm46",1.08685319398408,0.36925,0.54475,1.6070817963942e-66
"Lgals3bp",1.08335447957416,0.74775,0.94425,0
"Fhl1",1.06602871283907,0.24875,0.67625,1.64111338827234e-276
"Ntm",1.06121860099071,0.0105,0.4705,0
"Ngfr",1.03522887637436,0.253,0.6135,3.52860112898176e-197
"Ifitm3",1.03163125044395,0.9975,0.99925,0
"B2m",1.02913423463595,0.997,0.998,0
"Nr1h4",1.02723651754002,0.25175,0.68475,9.21622145127782e-271
"Adra2b",1.02250966533057,0.1205,0.586,9.95213021174175e-280
"Tnfrsf21",1.01818063070656,0.39625,0.76025,1.48309024949838e-268
"Ms4a4d",1.01613590802848,0.3935,0.7835,5.15678377616271e-272
"Apold1",1.01552200375236,0.087,0.4815,5.92335573031682e-246
"Junb",1.01321144316926,0.95325,0.9785,1.36829558974304e-266
"Sorbs1",0.999870046706613,0.17425,0.616,2.19129783644326e-302
"Icam1",0.982642741127433,0.3425,0.6595,1.8101710227609e-178
"Zeb2",0.971006538301974,0.85225,0.95975,0
"Bmp10",0.965044631992737,0.0285,0.4465,3.7841894010697e-306
"Cfb",0.964784528656006,0.15375,0.56025,5.60636023988572e-226
"Ets1",0.964380550379572,0.4525,0.77125,8.39807967647549e-258
"Nfkbia",0.961606911678122,0.61925,0.80125,5.46970609602704e-159
"Phlda1",0.956328639491127,0.81625,0.925,1.19076934044355e-187
"Adm",0.948767808611529,0.1315,0.49,4.94961540144748e-186
"Ifnar2",0.942068975448644,0.828,0.951,0
"Isg15",0.935354583798784,0.40675,0.65675,5.93933481718991e-131
"Ifit3",0.92884292962053,0.182,0.537,4.40126953343936e-207
"Lhx2",0.927344249545879,0.274,0.62075,3.41937306744709e-196
"Tinagl1",0.890989345818786,0.25975,0.60125,4.01233679279535e-188
"Lama1",0.890553156930373,0.144,0.48475,3.7132693782764e-214
"Pf4",0.890129311529981,0.2285,0.575,1.47283903431964e-182
"Bco1",0.886983828181982,0.14225,0.5475,6.0444701088369e-233
"Ngf",0.882095143193827,0.5735,0.8045,2.13224423862434e-177
"Apoe",0.875597211265433,0.996,0.995,2.97416228923622e-254
"Arhgap42",0.874145768081763,0.32325,0.654,9.15698253615738e-220
"Ephx1",0.859486547469859,0.357,0.70525,1.19137430363869e-226
"Papss2",0.835535118202885,0.33225,0.65325,1.24556246116298e-201
"Tshz2",0.833800009708893,0.7045,0.888,2.70201543824846e-221
"Rarres2",0.833647565312771,0.96375,0.992,0
"Smagp",0.83184115517644,0.055,0.453,1.73699313437232e-272
"Arap2",0.82809673269268,0.422,0.6795,3.53040387127154e-190
"Trp53i11",0.828028833853029,0.055,0.4305,1.9460000453612e-229
"Bcr",0.822132424571626,0.22075,0.477,1.85772257787187e-125
"Eps8",0.804256119701028,0.34575,0.666,3.82242596856472e-191
"P2ry14",0.799137642758631,0.11475,0.457,1.10456719648058e-168
"Slfn5",0.797030003284669,0.34125,0.6335,2.57980206952226e-185
"H2-Q4",0.771955476339901,0.30025,0.61925,3.29975758342429e-164
"Gm14964",0.750027184538947,0.104,0.45675,1.45861356532503e-183
"Spry1",0.740765701787592,0.675,0.87075,4.41769779592069e-167
"Bst2",0.733333961070831,0.81075,0.937,1.47908289307515e-192
"Ktn1",0.719460954412781,0.43625,0.67425,7.94371750687925e-145
"Ggt5",0.639712523996138,0.045,0.351,3.23816931166603e-164
"Cyp20a1",0.552127908302267,0.59,0.74075,1.20182795345584e-93
