"","avg_logFC","pct.1","pct.2","p_val_adj"
"Spp1",4.11414513101536,0.57175,0.219,0
"Mgp",3.6282145020892,0.5815,0.16975,0
"S100a6",3.09026388571653,0.98175,0.34875,0
"Timp1",3.02414585959719,0.966,0.4415,0
"Serpine2",3.01040268429532,0.977,0.3465,0
"Ptn",2.48439505592683,0.627,0.0275,0
"Col15a1",2.44993988514448,0.9115,0.16525,0
"Col1a1",2.44702623725693,0.99875,0.86375,0
"Eln",2.42674597368087,0.8275,0.28825,0
"Lpl",2.3807212581546,0.98525,0.77325,0
"Fxyd6",2.2153683494209,0.70775,0.0385,0
"Ltbp2",2.10369675580062,0.802,0.08325,0
"Dpt",1.95931804987826,0.92125,0.25725,0
"Col1a2",1.89479889893635,0.99775,0.98325,0
"Lgals1",1.83154381686236,0.99725,0.932,0
"Serpina3n",1.81908856129757,0.77325,0.23925,0
"Mfap4",1.78703345292134,0.68075,0.0845,0
"Emp1",1.76781400610621,0.95375,0.43,0
"Sparcl1",1.73173841278512,0.9655,0.68925,0
"Htra1",1.68595280909632,0.8395,0.2475,0
"Fbn2",1.67315750576622,0.71875,0.068,0
"Cd34",1.65982344705824,0.742,0.10525,0
"Tnc",1.59174016006927,0.767,0.19875,0
"Timp3",1.57524302390949,0.975,0.81375,0
"Plat",1.57214728945161,0.9175,0.3665,0
"Fzd1",1.5312599191936,0.8445,0.2935,0
"Col6a3",1.52852161671967,0.961,0.7925,0
"Igf1",1.49423580906001,0.75525,0.25975,0
"Loxl1",1.4587965326889,0.92675,0.43175,0
"Ncam1",1.43916951755498,0.70375,0.095,0
"Crip1",1.39097807954619,0.95375,0.758,0
"Acta2",1.37472442642491,0.621,0.2855,5.46057689241964e-250
"Gas6",1.36575397152683,0.709,0.1295,0
"Col8a1",1.31860563469397,0.64175,0.22425,5.72637998304027e-287
"Col5a2",1.29493058737364,0.9405,0.6995,0
"Itgb5",1.29314615715216,0.96325,0.723,0
"Ptgis",1.28151658029454,0.88975,0.478,0
"Ildr2",1.27097843517307,0.627,0.06175,0
"S100a16",1.27076803438244,0.696,0.1065,0
"Lox",1.26552470668521,0.69625,0.1805,0
"Slc7a2",1.23974662092232,0.7185,0.17275,0
"Col4a5",1.20245883508356,0.62725,0.06625,0
"Cxcl14",1.189068682856,0.87,0.765,4.60709638071905e-112
"Mfap2",1.17749680667854,0.76975,0.253,0
"Col3a1",1.17609414764045,1,0.99575,0
"Colec12",1.17510590851314,0.762,0.22875,0
"Fstl1",1.15772750451652,0.988,0.90625,0
"Adcy7",1.11595505495911,0.59425,0.043,0
"Mdk",1.09242757666839,0.61125,0.19625,2.46977288722025e-260
"Fam180a",1.08877923779552,0.6685,0.1985,0
"Runx1",1.07697617926132,0.57475,0.084,0
"Ppic",1.07263696456523,0.97525,0.78075,0
"Mtch1",1.07225673017099,0.95125,0.72425,0
"Pdgfrl",1.07137611490844,0.6975,0.204,0
"Aebp1",1.05899487611954,0.8485,0.42725,0
"Col6a2",1.04996253151043,0.8925,0.535,0
"Pla1a",1.04576890041072,0.54825,0.05875,0
"Crispld2",1.04445127048779,0.6075,0.186,1.00681605353548e-261
"Igfbp4",1.03574440345429,0.87375,0.73375,5.65846736457563e-144
"Mmp2",1.0070100612151,0.85975,0.527,6.97957414715432e-212
"Tgfbr2",1.00554919253411,0.85175,0.49575,4.99847346689558e-283
"F2r",0.994507680033097,0.9175,0.655,2.26090001860501e-285
"Aldh1a2",0.983828359161963,0.43775,0.04425,2.31728668207999e-307
"Ak1",0.97463732859366,0.637,0.133,0
"Fhl2",0.940427423352743,0.754,0.403,1.20220128946619e-176
"Nrep",0.936696540335817,0.52275,0.08925,0
"Gsn",0.923846163183752,0.93075,0.68975,2.53240152815353e-195
"Lmna",0.915071870479276,0.8995,0.62675,2.41238200622925e-278
"Dpysl3",0.898209662245697,0.617,0.17875,4.10458122929183e-288
"Thbs1",0.885653088756193,0.741,0.50625,1.07302340484682e-116
"Sec61b",0.880221882156646,0.96525,0.87275,0
"Tgfb3",0.864277977212528,0.59675,0.1475,9.03974645251168e-281
"Col6a1",0.862577090056554,0.9565,0.77475,2.12633888980595e-255
"Mmp14",0.858424080135248,0.7535,0.365,2.27217447900523e-243
"Serpinh1",0.847637821701524,0.99725,0.98475,0
"Phldb2",0.840190123577987,0.642,0.23975,2.98696045616857e-255
"S100a4",0.823562819998251,0.33425,0.01925,2.77539506432687e-238
"Fkbp11",0.818051227758954,0.5045,0.103,8.93889895264546e-285
"Ctsk",0.808683453265205,0.78575,0.44425,8.27438343337161e-193
"Nme2",0.806714078499627,0.9935,0.98,0
"Tubb2a",0.784951632243572,0.71025,0.37375,6.64064315292325e-176
"Sec61g",0.767542822829663,0.97925,0.9405,0
"Kdelr3",0.766818807510437,0.7235,0.332,1.1255079469599e-234
"Pmepa1",0.733425609042511,0.9085,0.7765,8.73452448034306e-161
"Clmp",0.730978745688239,0.5745,0.1775,6.56536065367687e-225
"Vamp5",0.721172763195707,0.72275,0.39225,9.70327542427393e-179
"Hivep3",0.714786038820667,0.5385,0.154,9.83136043505166e-214
"Abracl",0.682481264575256,0.74525,0.3965,2.3415927978078e-169
"Vim",0.671159676209325,0.99725,0.98475,8.93983482538426e-273
"S100a13",0.653698020639797,0.85175,0.6005,4.93700601737257e-156
